Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     12.35     0.00       17     0.00     0.00  wasora_get_builtin_vectorfunction_ptr
  0.00     12.35     0.00       17     0.00     0.00  wasora_get_function_ptr
  0.00     12.35     0.00       17     0.00     0.00  wasora_get_variable_ptr
  0.00     12.35     0.00       15     0.00     0.00  wasora_define_instruction
  0.00     12.35     0.00       14     0.00     0.00  wasora_add_leading_zeros
  0.00     12.35     0.00       14     0.00     0.00  wasora_parse_expression
  0.00     12.35     0.00       14     0.00     0.00  wasora_strip_blanks
  0.00     12.35     0.00       12     0.00     0.00  wasora_instruction_print
  0.00     12.35     0.00       10     0.00     0.00  wasora_define_function
  0.00     12.35     0.00       10     0.00     0.00  wasora_free_function
  0.00     12.35     0.00        9     0.00     0.00  mesh_three_node_line_dhdr
  0.00     12.35     0.00        9     0.00     0.00  mesh_three_node_line_h
  0.00     12.35     0.00        8     0.00     0.00  milonga_resolve_xs_expr
  0.00     12.35     0.00        8     0.00     0.00  wasora_define_vector
  0.00     12.35     0.00        8     0.00     0.00  wasora_free_vector
  0.00     12.35     0.00        8     0.00     0.00  wasora_mesh_parse_line
  0.00     12.35     0.00        6     0.00     0.00  PetscTime
  0.00     12.35     0.00        6     0.00     0.00  mesh_two_node_line_dhdr
  0.00     12.35     0.00        6     0.00     0.00  mesh_two_node_line_h
  0.00     12.35     0.00        6     0.00     0.00  milonga_get_cpu_time
  0.00     12.35     0.00        5     0.00     0.00  wasora_define_file
  0.00     12.35     0.00        4     0.00     0.00  diffusion_elements_allocate_particular_elemental_objects
  0.00     12.35     0.00        4     0.00     0.00  plugin_parse_line
  0.00     12.35     0.00        4     0.00     0.00  wasora_define_physical_property
  0.00     12.35     0.00        4     0.00     0.00  wasora_define_property_data
  0.00     12.35     0.00        4     0.00     0.00  wasora_fopen
  0.00     12.35     0.00        4     0.00     0.00  wasora_vector_init
  0.00     12.35     0.00        3     0.00     0.00  wasora_instruction_close_file
  0.00     12.35     0.00        3     0.00     0.00  wasora_realloc_variable_ptr
  0.00     12.35     0.00        2     0.00     0.04  diffusion_elements_problem_free
  0.00     12.35     0.00        2     0.00     0.00  diffusion_elements_results_fill_args
  0.00     12.35     0.00        2     0.00     0.00  mesh_hexa_gauss27_init
  0.00     12.35     0.00        2     0.00     0.00  mesh_tetrahedron_gauss_init
  0.00     12.35     0.00        2     0.00     0.00  milonga_assembly_objects
  0.00     12.35     0.00        2     0.00     0.00  milonga_debug_n_processors
  0.00     12.35     0.00        2     0.00     0.00  milonga_free_global_matrices
  0.00     12.35     0.00        2     0.00     0.00  milonga_free_global_vectors
  0.00     12.35     0.00        2     0.00     0.00  wasora_define_physical_entity
  0.00     12.35     0.00        2     0.00     0.00  wasora_evaluate_string
  0.00     12.35     0.00        2     0.00     0.00  wasora_function_init
  0.00     12.35     0.00        2     0.00     0.00  wasora_instruction_open_file
  0.00     12.35     0.00        1     0.00     0.00  diffusion_elements_allocate_general_elemental_objects
  0.00     12.35     0.00        1     0.00     0.00  diffusion_elements_free_elemental_objects
  0.00     12.35     0.00        1     0.00     0.00  diffusion_elements_problem_init
